name,item_kind,serving_g,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_100g,role,cuisine,diet_tags,usda_description,image_url
Turnip,component,100,28.0,0.9,6.4,0.1,1.8,3.8,67.0,veg,intl,"balanced,wl,keto,diab","turnips, raw",https://live.staticflickr.com/4132/5031230729_d9217fe7c0_b.jpg
Watercress,component,100,11.0,2.3,1.3,0.1,0.5,0.2,41.0,veg,intl,"balanced,wl,keto,diab","watercress, raw",https://live.staticflickr.com/6134/5980079247_d6fdb7db23_b.jpg
Zucchini,component,100,17.0,1.2,3.1,0.3,1.0,2.5,8.0,veg,intl,"balanced,wl,keto,diab","squash, summer, zucchini, includes skin, raw",https://live.staticflickr.com/7267/7654064656_4f028c7fc1.jpg
Corn Flakes,component,30,357.0,7.5,84,0.4,3.3,8,729.0,carb,intl,"balanced,wg","cereals ready-to-eat, corn flakes",
French Fries,component,100,312.0,3.4,41,15,3.8,0.3,210.0,carb,intl,"balanced,wg","potatoes, french fried, all types",
Croissant,component,60,406.0,8.2,45.8,21,2.6,11.3,424.0,carb,intl,"balanced,wg","croissants, butter",
Pancakes,component,80,227.0,6.4,28,9.7,1,6,439.0,carb,intl,"balanced,wg","pancakes, plain, prepared",
Waffles,component,75,291.0,7.9,33,14,2,5,512.0,carb,intl,"balanced,wg","waffles, plain, prepared",
Hash Browns,component,100,265.0,2.7,28,16,2.6,0.3,330.0,carb,intl,"balanced,wg","potatoes, hash brown",
French Bread,component,60,272.0,9,52,3,2.3,4,602.0,carb,intl,"balanced,wl,wg","bread, french or vienna",
Saltine Crackers,component,30,418.0,9,72,10,2.7,1.5,941.0,carb,intl,"balanced,wg","crackers, saltines",
Cornbread,component,65,330.0,7,46,12,2,12,600.0,carb,intl,"balanced,wg","cornbread, prepared from mix",
Mashed Potatoes,component,150,113.0,1.9,16.9,4.2,1.5,1.6,317.0,carb,intl,"balanced,wl,diab","potatoes, mashed, prepared",
Instant Noodles,component,80,436.0,9,63,16,2,2,1300.0,carb,intl,"balanced,wg","noodles, instant ramen, cooked",
Popcorn,component,30,387.0,12,78,4.5,15,0.9,8.0,carb,intl,"balanced,wl,diab","snacks, popcorn, air-popped",
Naan,component,90,310.0,9,50,6.5,2,3,450.0,carb,intl,"balanced,wg","bread, naan, plain",
Beef Bacon,component,30,449.0,31.3,1.4,34.4,0,0,1933.0,main,intl,"balanced,hp,keto","beef, cured, breakfast strips, cooked",
Beef Luncheon,component,80,248.0,15,3,19,0,1,1000.0,main,egyptian,"balanced,hp,keto",beef luncheon meat,
Hot Dog,component,50,290.0,10,4,26,0,1,810.0,main,intl,"balanced,wg","frankfurter, beef",
Beef Sausage,component,60,301.0,13,2,27,0,1,800.0,main,egyptian,"balanced,hp,wg,keto","sausage, beef, cooked",
Beef Pepperoni,component,30,460.0,21,4,40,0,0,1500.0,main,intl,"balanced,hp,keto","pepperoni, beef",
Beef Salami,component,30,261.0,14,1.9,21,0,0.5,1140.0,main,intl,"balanced,hp,keto","salami, beef, cooked",
Smoked Salmon,component,80,117.0,18,0,4.3,0,0,672.0,main,intl,"balanced,hp,wl,keto,diab","fish, salmon, smoked (lox)",
Canned Tuna,component,100,116.0,26,0,0.8,0,0,247.0,main,intl,"balanced,hp,wl,keto,diab","fish, tuna, light, canned in water, drained",
Breaded Fish Fillet,component,90,290.0,12,25,17,1,1,400.0,main,intl,"balanced,wg","fish fillet, battered or breaded, fried",
Chicken Nuggets,component,90,296.0,15,16,19,1,0.5,557.0,main,intl,"balanced,wg","chicken, nuggets, breaded, cooked",
Meatballs,component,100,197.0,12,5,14,0.5,1,520.0,main,intl,"balanced,hp,wg","meatballs, beef, cooked",
Falafel,component,100,333.0,13,32,18,5,1,294.0,side,egyptian,"balanced,wg","falafel, home-prepared",
Basturma,component,60,147.0,22,2,5,0,0,885.0,main,egyptian,"balanced,hp,wl,keto","beef, cured, pastrami",
Roast Beef (Deli),component,80,117.0,22,1,2.5,0,0,600.0,main,intl,"balanced,hp,wl,keto,diab","beef, roast, deli sliced",
Butter,component,15,717.0,0.9,0.1,81,0,0.1,11.0,side,intl,"balanced,keto,wg","butter, salted",
Margarine,component,15,717.0,0.2,0.7,80,0,0,751.0,side,intl,"balanced,keto,wg","margarine, regular, hard",
Ice Cream,component,70,207.0,3.5,24,11,0.7,21,80.0,side,intl,"balanced,wg","ice cream, vanilla",
Chocolate Milk,component,200,83.0,3.2,10.3,3.4,0.5,9.5,60.0,side,intl,"balanced,wg","milk, chocolate, reduced fat",
Labneh,component,60,130.0,8,5,9,0,5,90.0,side,egyptian,"balanced,hp,keto","yogurt, strained (labneh)",
American Cheese,component,30,300.0,15,8,23,0,5,1300.0,side,intl,"balanced,hp,keto","cheese, pasteurized process, american",
String Cheese,component,30,328.0,24,2.5,25,0,0.5,640.0,side,intl,"balanced,hp,keto","cheese, mozzarella, low moisture part-skim (string)",
Pudding,component,110,130.0,2.5,22,3,0.2,17,140.0,side,intl,"balanced,wg","pudding, chocolate, ready-to-eat",
Olive Oil,component,14,884.0,0,0,100,0,0,2.0,fat,intl,"balanced,keto,wg","oil, olive, extra virgin",
Vegetable Oil,component,14,884.0,0,0,100,0,0,0.0,fat,intl,"balanced,keto,wg","oil, vegetable, soybean",
Mixed Nuts,component,30,607.0,20,21,54,7,4,300.0,fat,intl,"balanced,hp,keto,wg","nuts, mixed, dry roasted, with salt",
Applesauce,component,120,42.0,0.2,11,0.1,1.2,9,3.0,fruit,intl,"balanced,wl","applesauce, canned, unsweetened",
Mulberries,component,100,43.0,1.4,9.8,0.4,1.7,8,10.0,fruit,egyptian,"balanced,wl,diab","mulberries, raw",
Dried Apricots,component,40,241.0,3.4,63,0.5,7.3,53,10.0,fruit,intl,"balanced,wg","apricots, dried, sulfured",
Iceberg Lettuce,component,60,14.0,0.9,3,0.1,1.2,2,10.0,veg,intl,"balanced,wl,diab,keto","lettuce, iceberg, raw",
Pickles,component,50,11.0,0.3,2.3,0.2,1,1.1,1208.0,veg,intl,"balanced,wl,diab,keto","pickles, cucumber, dill",
Sauerkraut,component,50,19.0,0.9,4.3,0.1,2.9,1.8,661.0,veg,intl,"balanced,wl,diab,keto","sauerkraut, canned",
Milk Chocolate,component,30,535.0,7.6,59,30,3.4,52,79.0,side,intl,"balanced,wg","candies, milk chocolate",
Chocolate Chip Cookies,component,30,488.0,5.7,64,24,2.4,35,330.0,side,intl,"balanced,wg","cookies, chocolate chip",
Donut,component,60,452.0,4.9,51,25,1.5,23,326.0,side,intl,"balanced,wg","doughnuts, cake-type, plain",
Sponge Cake,component,70,297.0,5,50,9,0.7,30,250.0,side,intl,"balanced,wg","cake, sponge",
Potato Chips,component,30,536.0,7,53,35,4.5,0.6,525.0,side,intl,"balanced,wg","snacks, potato chips, salted",
Rolled Oats,component,40,389.0,16.9,66.3,6.9,10.6,0.99,2.0,carb,intl,"balanced,wl,wg,diab","cereals, oats, regular and quick, dry",
